match_won,opposition_win_percentage,home,fifty_plus_t1,fifty_plus_partnerships_t1,dots_t1,run_rate_t1,highest_ind_sr_t1,fours_t2,sixes_t2,wickets_t2,run_rate_t2
0,1.0,0,0,0,46,4.83,104.54,,,,
0,0.0,0,0,0,35,7.87,150.0,,,,
0,1.0,1,0,0,47,4.83,123.52,,,,
1,0.0,1,0,1,27,9.27,160.0,,,,
0,0.0,1,0,0,39,6,145.0,,,,
0,0.75,1,1,0,28,8.88,159.37,,,,
0,0.8,0,0,0,38,6.54,163.15,,,,
1,0.2857,1,0,0,37,7.09,216.66,,,,
1,0.7143,1,0,1,32,9.58,137.14,,,,
1,0.25,0,1,1,36,6.93,120.93,,,,
0,0.75,0,0,0,25,6.93,134.78,,,,
1,0.5,1,0,0,31,6.7,111.62,,,,
0,0.6,1,0,1,31,6.93,119.51,,,,
1,0.2,0,0,0,33,7.48,240.0,,,,
0,0.5,0,1,1,35,8.41,160.97,,,,
0,0.25,1,0,1,30,8.49,138.23,,,,
0,0.4167,0,0,1,26,8.41,127.77,,,,
1,0.8462,1,2,1,28,9.5,156.81,,,,
1,0.5385,2,0,1,32,9.35,195.45,,,,
1,0.3333,2,1,1,25,8.96,185.71,,,,
0,0.4286,2,0,1,29,7.79,188.23,,,,
1,0.3125,2,1,1,26,9.81,162.79,,,,
0,0.5625,2,0,1,33,6.62,148.0,,,,
0,0.7368,2,0,0,28,7.24,131.25,,,,
0,0.2632,2,0,0,37,6.15,108.1,,,,
0,0.7143,2,0,0,37,6.38,111.42,,,,
1,0.5789,2,0,1,30,8.72,137.5,,,,
1,0.6364,2,2,1,31,9.19,173.68,,,,
1,0.6087,2,0,1,31,8.1,117.5,,,,
0,0.5714,2,0,0,41,4.44,107.14,,,,
0,0.4783,2,0,0,44,6.38,186.95,,,,
1,0.3333,2,0,1,32,7.24,205.55,,,,
0,0.36,2,1,0,25,7.87,166.66,,,,
0,0.32,2,0,0,35,5.37,79.41,,,,
0,0.32,2,0,0,46,5.37,183.33,,,,
0,0.5926,2,0,1,33,7.55,121.05,,,,
1,0.3333,2,1,1,34,7.32,133.33,,,,
0,0.3214,2,0,1,37,7.24,136.36,,,,
0,0.4286,2,0,1,30,7.4,133.33,,,,
1,0.4483,2,0,0,38,5.68,157.14,,,,
0,0.5862,1,1,1,32,7.71,123.8,,,,
1,0.6129,0,1,0,20,10.51,196.87,,,,
0,0.4375,0,0,0,37,5.22,105.26,,,,
1,0.3793,1,0,0,27,8.18,134.78,,,,
0,0.4667,0,0,1,33,6.15,87.5,,,,
1,0.5588,1,0,0,36,7.24,71.42,,,,
1,0.4857,0,0,0,19,8.64,139.28,,,,
0,0.6176,0,0,0,26,7.79,152.94,,,,
1,0.5294,0,0,1,30,8.57,139.39,,,,
1,0.4,0,0,0,37,7.24,128.12,,,,
1,0.375,1,1,1,25,8.49,159.57,,,,
0,0.5152,0,0,0,26,7.79,118.91,,,,
1,0.6389,1,0,0,27,7.71,120.68,,,,
1,0.3784,1,0,1,25,7.01,140.0,,,,
1,0.4737,1,0,0,35,8.88,159.09,,,,
1,0.5429,1,0,0,26,8.57,117.24,,,,
0,0.6154,0,0,1,30,8.64,133.33,,,,
0,0.359,1,0,0,36,6.7,150.0,,,,
1,0.625,0,0,1,27,7.32,123.33,,,,
1,0.625,0,0,1,27,7.4,123.33,,,,
1,0.4634,1,0,1,31,7.63,136.66,,,,
0,0.4524,1,0,0,43,5.61,88.0,,,,
0,0.5349,1,0,1,30,8.02,110.25,,,,
0,0.3846,0,0,1,32,6,127.77,,,,
1,0.4318,2,0,1,32,6.15,96.77,,,,
1,0.4,1,0,1,24,7.32,126.31,,,,
0,0.4565,1,0,1,25,8.33,140.62,,,,
0,0.4565,1,0,1,25,8.41,140.62,,,,
0,0.5,0,0,0,50,4.44,59.09,,,,
1,0.4043,1,1,1,32,7.01,117.77,,,,
0,1.0,0,0,1,38,6.7,152.17,,,,
1,0.4583,1,0,1,29,7.63,102.7,,,,
0,0.0,1,0,1,29,7.71,116.66,,,,
1,0.5435,0,0,1,27,8.64,144.11,,,,
1,0.5,1,0,1,33,6.15,114.7,,,,
0,0.451,1,0,0,27,7.4,137.03,,,,
1,0.5,0,0,0,41,5.37,113.33,,,,
1,0.4286,0,0,0,40,5.37,112.12,,,,
0,0.58,0,0,0,31,7.24,166.66,,,,
0,0.4815,0,0,0,32,6.77,96.0,,,,
1,0.5769,0,1,1,24,8.8,140.54,,,,
1,0.5849,1,0,1,29,8.41,125.92,,,,
1,0.5088,1,1,1,33,10.2,202.77,,,,
1,0.4615,1,0,0,28,6.38,80.64,,,,
0,0.5,0,0,0,47,4.67,78.57,,,,
0,0.5536,1,0,0,24,8.02,159.09,,,,
1,0.5667,0,0,0,31,5.84,123.07,,,,
1,0.5667,0,0,0,31,5.92,123.07,,,,
1,0.4912,1,1,1,27,7.87,131.81,,,,
1,0.5088,1,0,0,34,6.77,157.89,,,,
1,0.4167,0,0,0,29,7.55,156.0,,,,
0,0.4746,0,0,0,38,6.15,111.11,,,,
0,0.431,0,0,0,37,6,103.7,,,,
0,0.4762,1,1,1,27,7.4,131.57,,,,
0,0.4426,1,0,0,23,6.77,112.19,,,,
1,0.5556,0,0,0,34,6.93,96.77,,,,
0,0.4848,1,1,1,32,7.4,156.25,,,,
0,0.4769,1,0,0,31,7.4,111.11,,,,
0,0.5753,1,0,0,39,5.68,150.0,,,,
1,0.3077,0,1,1,35,7.63,183.87,,,,
0,0.4928,0,1,1,23,8.8,150.0,,,,
0,0.5694,1,0,0,37,7.01,97.29,,,,
1,0.5753,0,0,0,30,6.77,105.26,,,,
1,0.2857,0,0,0,34,5.76,96.96,,,,
1,0.5417,2,0,0,28,6.85,200.0,,,,
0,0.4932,1,0,0,44,3.89,82.6,,,,
0,0.2581,0,1,1,29,6.77,115.9,,,,
1,0.2813,1,0,1,33,7.09,151.72,,,,
0,0.5854,0,0,0,31,6.62,113.51,,,,
1,0.2941,0,0,0,41,5.06,111.53,,,,
1,0.4937,0,0,1,32,7.01,115.62,,,,
0,0.5882,1,0,0,35,6.38,131.57,,,,
0,0.593,0,1,1,21,8.72,165.95,,,,
1,0.2778,1,1,1,29,12.07,257.77,,,,
0,0.481,0,0,0,29,7.48,147.61,,,,
1,0.4875,1,1,1,22,9.58,161.22,,,,
0,0.5375,0,0,0,27,7.71,212.5,,,,
1,0.2632,0,0,1,29,6.15,106.66,,,,
0,0.494,0,0,0,47,5.06,125.0,,,,
1,0.2564,0,0,1,26,7.71,105.12,,,,
0,0.5366,0,0,1,34,8.33,118.42,,,,
0,0.5422,0,0,0,39,6.23,109.67,,,,
1,0.2439,0,0,0,33,6.46,114.63,,,,
1,0.4824,0,0,0,37,5.92,105.71,,,,
0,0.4824,0,0,0,28,5.29,94.28,,,,
0,0.5843,0,1,1,26,8.64,143.9,,,,
0,0.4767,1,0,1,35,6.15,87.87,,,,
1,0.4828,1,0,1,32,7.09,134.78,,,,
1,0.4884,0,0,1,26,7.55,150.0,,,,
1,0.5581,1,1,1,29,8.57,159.45,,,,
1,0.4773,1,0,1,34,6.85,161.53,,,,
1,0.5517,1,0,0,34,5.22,100.0,,,,
1,0.4719,1,1,0,34,7.24,152.94,,,,
0,0.4615,2,0,1,28,7.24,114.28,,,,
0,0.5376,2,0,0,43,4.28,84.0,,,,
0,0.5161,2,0,0,33,6.93,111.11,,,,
0,0.56,0,0,1,33,7.79,166.66,,,,
0,0.5474,1,0,0,27,6.62,127.27,,,,
1,0.4681,1,0,1,24,7.55,121.21,,,,
1,0.5567,0,0,0,25,6.93,165.0,,,,
0,0.5417,1,0,0,27,7.87,184.21,,,,
0,0.551,1,0,0,38,6.46,205.88,,,,
0,0.5253,1,0,1,32,7.63,153.12,,,,
1,0.5489999999999999,1,0,1,32,8.49,117.64,,,,
0,0.5741,0,1,1,32,7.94,138.88,,,,
1,0.6106,2,1,1,23,11.53,221.95,,,,
1,0.5283,0,0,0,34,6.85,143.47,,,,
0,0.4953,1,1,1,24,7.79,130.23,,,,
1,0.5,0,1,1,30,7.63,150.0,,,,
1,0.5,0,1,1,30,7.71,150.0,,,,
0,0.5094,1,0,1,32,7.4,126.92,,,,
0,0.514,1,0,0,36,6.7,118.51,,,,
0,0.5182,1,0,1,25,8.41,126.31,,,,
0,0.4911,1,0,0,38,5.22,79.41,,,,
1,0.5179,0,1,0,31,7.09,141.46,,,,
1,0.5043,1,1,1,27,10.51,204.54,,,,
1,0.4211,1,0,0,36,7.01,103.22,,,,
0,0.5175,0,0,0,31,7.24,114.7,,,,
1,0.4174,0,0,0,33,6.62,88.0,,,,
0,0.5691,1,0,0,37,4.98,104.16,,,,
1,0.6077,2,2,1,26,9.66,151.11,,,,
0,0.5128,0,0,0,45,6.54,170.0,,,,
0,0.5748,1,2,1,17,9.03,124.39,,,,
0,0.4202,1,1,1,19,8.8,166.66,,,,
0,0.5167,1,0,0,34,6,118.18,,,,
1,0.5725,1,0,0,25,7.09,125.71,,,,
0,0.8333,1,1,1,16,9.11,185.29,,,,
0,0.5161,1,1,1,24,8.25,162.5,,,,
0,0.25,1,0,0,24,7.71,139.13,,,,
0,0.5192,0,0,0,33,6.07,133.33,,,,
0,0.5735,1,0,0,37,5.29,100.0,,,,
0,0.5197,0,0,0,29,6.54,122.22,,,,
1,0.4331,1,0,1,27,9.03,127.02,,,,
0,0.5,1,1,1,23,8.18,150.0,,,,
0,0.25,0,0,0,39,4.83,100.0,,,,
0,0.5833,0,0,0,39,4.98,131.57,,,,
1,0.5191,2,0,1,27,7.32,147.61,,,,
1,0.5147,0,1,1,24,9.27,180.55,,,,
0,0.5674,0,0,0,26,7.55,133.33,,,,
0,0.4741,0,0,0,37,5.22,120.0,,,,
0,0.5704,0,0,1,31,8.1,144.11,,,,
0,0.5149,0,0,1,37,7.79,147.36,,,,
1,0.5538,1,1,1,26,8.1,184.84,,,,
0,0.5764,0,1,1,28,7.16,145.0,,,,
0,0.5221,1,0,1,20,7.79,156.0,,,,
1,0.5,0,1,1,26,9.66,202.63,,,,
0,0.3684,0,0,1,27,6.62,103.44,,,,
1,0.5,0,1,1,25,8.8,170.27,,,,
1,0.5035,1,0,0,33,7.63,200.0,,,,
0,0.5286,0,1,1,21,8.33,154.28,,,,
1,0.4966,1,0,0,27,7.63,132.14,,,,
1,0.4898,0,0,0,36,5.37,89.28,,,,
1,0.4255,0,1,1,22,9.42,153.48,,,,
0,0.5245,1,0,0,28,6.46,117.64,,,,
0,0.4444,1,1,1,18,8.02,135.13,,,,
0,0.4225,1,0,1,22,8.88,136.0,,,,
0,0.4225,1,0,1,22,8.96,136.0,,,,
0,0.4815,0,0,0,40,5.29,110.0,,,,
0,0.5205,2,0,1,31,6.23,105.71,,,,
0,0.5806,2,0,0,37,5.53,143.75,,,,
0,0.6031,1,0,1,34,7.79,148.27,,,,
0,0.5203,0,0,1,32,8.96,159.25,,,,
1,0.4257,1,0,1,34,8.33,184.21,,,,
1,0.4837,1,1,1,37,9.11,154.76,,,,
0,0.4803,1,1,1,24,9.74,187.87,,,,
0,0.4805,0,0,1,28,6.07,144.44,,,,
1,0.5625,0,0,1,34,6.7,110.0,,,,
1,0.5741,0,0,0,32,7.55,138.09,,,,
1,0.4211,1,1,1,26,9.19,197.29,,,,
1,0.4211,1,1,1,26,9.27,197.29,,,,
0,0.5192,0,0,0,27,8.49,144.0,,,,
0,0.6071,0,1,0,31,6.54,129.26,,,,
0,0.4808,0,0,0,19,7.79,127.77,,,,
0,0.5814,1,0,1,29,7.24,150.0,,,,
1,0.5795,1,2,1,24,10.05,177.77,,,,
1,0.5276,0,0,1,25,7.4,129.62,,,,
0,0.6096,2,0,1,27,8.33,130.55,,,,
0,0.6149,1,0,0,31,7.01,97.22,,,,
1,0.4724,1,0,1,30,9.81,177.77,,,,
1,0.4788,0,0,1,29,7.94,145.45,,,,
0,0.4695,0,1,2,19,9.35,157.89,,,,
0,0.4224,0,0,0,35,7.48,155.0,,,,
0,0.4207,1,0,0,25,6.38,100.0,,,,
1,0.5233,0,0,0,27,7.55,126.31,,,,
0,0.5143,0,1,1,24,7.87,144.18,,,,
0,0.4286,0,1,0,31,8.25,186.48,,,,
0,0.5545,0,0,0,24,7.87,113.51,,,,
0,0.4320000000000001,1,1,1,21,10.44,174.46,,,,
1,0.4709,1,0,0,29,7.55,179.16,,,,
0,0.5141,1,0,0,39,6.62,130.43,,,,
1,0.4743,1,1,1,24,8.18,135.13,,,,
1,0.5769,1,2,1,24,9.5,157.89,,,,
1,0.5769,1,2,1,24,9.58,157.89,,,,
1,0.4682,1,1,2,16,10.28,138.63,,,,
0,0.4716,0,0,0,33,7.16,130.43,,,,
0,0.4629,0,1,1,25,7.79,134.21,,,,
0,0.5784,1,0,0,39,5.22,100.0,,,,
0,0.6098,2,0,0,23,9.03,146.15,,,,
1,0.6121,2,2,1,24,10.59,231.25,,,,
1,0.5820000000000001,2,1,1,31,7.4,148.57,,,,
1,0.4637,2,0,1,32,6.38,117.14,,,,
1,0.6048,2,0,0,35,6,138.09,,,,
1,0.5193,2,1,2,17,10.12,160.97,,,,
1,0.6036,2,1,0,22,8.49,148.71,,,,
0,0.5855,2,0,1,26,7.4,118.75,,,,
1,0.5304,2,0,1,33,7.16,103.22,,,,
1,0.5254,2,0,0,30,6.23,100.0,,,,
0,0.5932,2,0,0,31,5.84,107.4,,,,
0,0.5891,2,0,1,26,7.63,141.37,,,,
