match_won,opposition_win_percentage,home,fifty_plus_t1,fifty_plus_partnerships_t1,dots_t1,run_rate_t1,highest_ind_sr_t1,fours_t2,sixes_t2,wickets_t2,run_rate_t2
0,1.0,0,0,0,54,5.03,104.54,,,,
0,0.0,0,1,1,43,8.19,183.33,,,,
0,1.0,1,0,0,50,5.16,133.33,,,,
1,0.0,1,2,1,32,9.8,164.7,,,,
0,0.0,1,0,0,49,5.8,145.0,,,,
0,0.75,1,1,1,36,8.19,145.94,,,,
0,0.8,0,0,0,46,6.12,136.66,,,,
1,0.2857,1,0,0,39,7.87,216.66,,,,
1,0.7143,1,1,1,35,9.41,147.61,,,,
1,0.25,0,1,2,38,8,141.17,,,,
0,0.75,0,0,0,34,6.38,134.78,,,,
1,0.5,1,0,0,37,6.32,109.09,,,,
0,0.6,1,1,1,39,6.58,116.32,,,,
1,0.2,0,0,0,37,7.74,240.0,,,,
0,0.5,0,1,1,40,8.12,157.14,,,,
0,0.25,1,0,1,37,8.32,138.23,,,,
0,0.4167,0,1,1,34,8.58,142.22,,,,
1,0.8462,1,2,1,34,9.35,166.66,,,,
1,0.5385,2,1,2,37,9.54,185.71,,,,
1,0.3333,2,1,1,25,9.22,185.71,,,,
0,0.4286,2,0,1,37,7.87,140.74,,,,
1,0.3125,2,1,1,30,9.48,157.77,,,,
0,0.5625,2,0,1,36,6.7,148.0,,,,
0,0.7368,2,1,1,35,6.77,125.0,,,,
0,0.2632,2,0,0,39,6.45,108.1,,,,
0,0.7143,2,0,1,41,6.96,111.42,,,,
1,0.5789,2,0,1,34,8.7,132.35,,,,
1,0.6364,2,2,1,35,9.41,175.0,,,,
1,0.6087,2,1,2,35,9.48,130.61,,,,
0,0.5714,2,0,1,44,5.48,114.81,,,,
0,0.4783,2,0,0,50,6,186.95,,,,
1,0.3333,2,0,1,37,7.29,205.55,,,,
0,0.36,2,1,0,36,6.83,157.89,,,,
0,0.32,2,0,1,38,6.25,106.25,,,,
0,0.32,2,0,0,54,5.22,183.33,,,,
0,0.5926,2,0,1,39,7.48,112.19,,,,
1,0.3333,2,1,1,37,8.25,157.62,,,,
0,0.3214,2,1,1,38,7.22,133.33,,,,
0,0.4286,2,0,1,33,7.16,133.33,,,,
1,0.4483,2,0,0,40,6.7,157.14,,,,
0,0.5862,1,1,1,40,7.29,116.66,,,,
1,0.6129,0,1,0,21,10.77,196.87,,,,
0,0.4375,0,0,0,46,5.03,108.33,,,,
1,0.3793,1,0,0,29,8.38,132.25,,,,
0,0.4667,0,1,1,34,7.16,104.16,,,,
1,0.5588,1,0,0,41,7.09,160.0,,,,
1,0.4857,0,0,0,24,8.38,129.41,,,,
0,0.6176,0,0,0,31,7.22,136.36,,,,
1,0.5294,0,1,1,35,8.32,125.0,,,,
1,0.4,0,0,0,45,6.64,115.38,,,,
1,0.375,1,1,1,29,8.77,161.4,,,,
0,0.5152,0,1,0,29,7.74,123.91,,,,
1,0.6389,1,0,1,28,7.93,117.64,,,,
1,0.3784,1,0,2,30,7.61,135.48,,,,
1,0.4737,1,0,0,38,8.64,134.37,,,,
1,0.5429,1,0,1,32,8.06,112.9,,,,
0,0.6154,0,0,1,31,8.32,133.33,,,,
0,0.359,1,1,0,40,7.03,142.1,,,,
1,0.625,0,0,1,32,7.03,111.36,,,,
1,0.4634,1,0,1,38,7.35,110.25,,,,
0,0.4524,1,0,0,51,5.74,88.0,,,,
0,0.5349,1,1,1,32,8.83,136.0,,,,
0,0.3846,0,0,1,37,5.74,124.32,,,,
1,0.4318,2,0,1,38,6.32,93.75,,,,
1,0.4,1,1,1,28,7.35,115.9,,,,
0,0.4565,1,0,1,31,8.06,140.62,,,,
0,0.5,0,0,0,57,4.58,67.85,,,,
1,0.4043,1,1,1,36,8.06,117.77,,,,
0,1.0,0,0,1,43,7.29,146.87,,,,
1,0.4583,1,0,1,33,8.19,102.7,,,,
0,0.0,1,1,2,34,8.58,129.16,,,,
1,0.5435,0,1,1,31,8.45,151.21,,,,
1,0.5,1,1,1,35,6.83,125.58,,,,
0,0.451,1,0,0,32,7.41,129.41,,,,
1,0.5,0,1,1,45,6.38,138.09,,,,
1,0.4286,0,1,1,44,6.83,158.53,,,,
0,0.58,0,0,0,36,6.83,166.66,,,,
0,0.4815,0,0,0,41,6.58,96.0,,,,
1,0.5769,0,1,2,27,8.96,132.5,,,,
1,0.5849,1,0,1,33,8.32,126.47,,,,
1,0.5088,1,2,1,33,11.54,190.0,,,,
1,0.4615,1,0,0,32,6.9,86.48,,,,
0,0.5,0,0,0,53,5.22,120.0,,,,
0,0.5536,1,0,1,27,7.93,108.33,,,,
1,0.5667,0,0,0,35,6,109.09,,,,
1,0.4912,1,1,1,31,8.51,142.59,,,,
1,0.5088,1,0,0,39,7.09,124.13,,,,
1,0.4167,0,0,0,34,8,156.0,,,,
0,0.4746,0,0,0,42,6.38,100.0,,,,
0,0.431,0,0,0,42,6.06,103.7,,,,
0,0.4762,1,1,2,28,8.51,155.55,,,,
0,0.4426,1,1,0,30,6.45,102.04,,,,
1,0.5556,0,0,1,38,7.61,116.66,,,,
0,0.4848,1,1,1,35,8.12,169.04,,,,
0,0.4769,1,0,0,36,7.09,111.11,,,,
0,0.5753,1,0,0,45,5.8,150.0,,,,
1,0.3077,0,1,1,39,8.38,183.87,,,,
0,0.4928,0,1,1,27,8.64,143.18,,,,
0,0.5694,1,0,0,42,7.35,100.0,,,,
1,0.5753,0,0,0,38,6.19,95.34,,,,
1,0.2857,0,0,1,38,6.7,97.5,,,,
1,0.5417,2,0,0,34,6.7,200.0,,,,
0,0.4932,1,0,0,49,4.25,82.6,,,,
0,0.2581,0,1,1,34,6.77,112.5,,,,
1,0.2813,1,0,2,37,7.48,151.72,,,,
0,0.5854,0,0,1,32,7.74,114.63,,,,
1,0.2941,0,0,0,47,5.03,100.0,,,,
1,0.4937,0,0,1,33,7.67,122.5,,,,
0,0.5882,1,0,0,45,5.8,131.57,,,,
0,0.593,0,1,1,25,8.64,162.74,,,,
1,0.2778,1,1,1,32,12.77,285.18,,,,
0,0.481,0,0,0,35,7.35,147.61,,,,
1,0.4875,1,1,2,24,10.12,163.79,,,,
0,0.5375,0,0,0,32,7.93,212.5,,,,
1,0.2632,0,0,1,31,6.64,123.07,,,,
0,0.494,0,0,0,53,5.48,125.0,,,,
1,0.2564,0,1,1,30,7.8,115.55,,,,
0,0.5366,0,1,1,43,8.32,131.7,,,,
0,0.5422,0,0,0,43,6.7,109.67,,,,
1,0.2439,0,1,0,39,6.25,113.63,,,,
1,0.4824,0,0,0,44,6.38,112.82,,,,
