match_won,opposition_win_percentage,home,fifty_plus_t1,fifty_plus_partnerships_t1,dots_t1,run_rate_t1,highest_ind_sr_t1,fours_t2,sixes_t2,wickets_t2,run_rate_t2
1,0.5,0,1,2,27,9.4,171.42,,,,
1,0.5,0,1,1,28,10.45,159.37,,,,
1,0.5,0,1,1,28,10.54,159.37,,,,
0,0.5,0,0,0,35,6.08,140.0,,,,
0,0.0,1,0,0,33,7.7,133.33,,,,
0,0.5,1,1,0,28,9,190.62,,,,
1,0.0,1,1,1,25,9.16,180.55,,,,
0,1.0,0,0,0,37,6.89,168.75,,,,
0,0.6667,1,0,0,43,6.4,220.0,,,,
0,0.3333,0,0,0,30,7.45,171.42,,,,
0,0.0,1,0,0,39,5.35,73.07,,,,
1,0.3333,0,0,0,28,6.81,164.7,,,,
1,0.25,1,1,2,20,9.56,148.64,,,,
1,0.5,1,1,1,28,9.4,176.47,,,,
1,0.5,1,1,1,28,9.48,176.47,,,,
0,0.5,1,0,0,25,7.45,141.17,,,,
1,0.2,1,0,1,19,8.1,118.91,,,,
1,0.4,1,0,1,32,8.27,125.0,,,,
1,0.8,1,0,0,32,8.02,212.5,,,,
0,0.6667,1,0,1,39,5.67,94.44,,,,
0,0.1667,1,0,0,39,6.32,163.15,,,,
0,0.3333,0,0,1,28,7.05,123.33,,,,
0,0.5714,1,0,1,20,8.18,134.37,,,,
0,0.5714,1,0,1,20,8.27,134.37,,,,
0,0.7143,0,1,1,29,7.13,122.72,,,,
0,0.625,0,0,0,29,6.97,95.45,,,,
0,0.4286,0,0,0,43,5.43,89.65,,,,
1,0.2222,1,1,1,23,8.51,155.26,,,,
0,0.5,0,0,0,49,4.37,78.94,,,,
1,0.2222,1,1,1,27,8.83,113.63,,,,
0,0.4545,1,0,0,39,6.56,113.79,,,,
0,0.8,1,0,0,41,6.32,96.42,,,,
1,0.6,0,1,1,27,9,157.14,,,,
1,0.6364,0,0,0,38,4.54,81.81,,,,
0,0.7273,0,0,1,32,7.21,129.41,,,,
1,0.5833,0,1,1,18,11.18,182.22,,,,
0,0.8333,0,0,1,30,6.48,102.7,,,,
0,0.5385,1,0,0,34,5.43,70.0,,,,
0,0.4615,1,0,0,33,6.16,130.0,,,,
0,0.5714,2,0,0,45,4.62,135.29,,,,
