match_won,opposition_win_percentage,home,fifty_plus_t1,fifty_plus_partnerships_t1,dots_t1,run_rate_t1,highest_ind_sr_t1,fours_t2,sixes_t2,wickets_t2,run_rate_t2
1,0.5,0,0,0,10,11.72,193.33,,,,
1,0.5,0,0,0,12,7.9,150.0,,,,
0,0.5,0,0,0,13,7.36,250.0,,,,
0,0.0,1,0,0,15,5.45,80.0,,,,
0,0.5,1,0,0,12,9,144.44,,,,
1,0.0,1,0,0,12,5.45,150.0,,,,
0,1.0,0,0,0,10,10.09,200.0,,,,
0,0.6667,1,0,0,14,6.81,210.0,,,,
0,0.3333,0,0,0,9,7.09,133.33,,,,
0,0.0,1,0,0,16,4.9,118.18,,,,
1,0.3333,0,0,0,13,4.9,52.94,,,,
1,0.25,1,0,0,7,11.45,176.92,,,,
1,0.5,1,0,0,12,7.09,150.0,,,,
0,0.5,1,0,0,7,8.18,146.66,,,,
1,0.2,1,0,0,10,7.36,121.42,,,,
1,0.2,1,0,0,10,7.63,121.42,,,,
1,0.4,1,0,0,9,7.63,163.63,,,,
1,0.8,1,0,0,11,6.81,188.88,,,,
0,0.6667,1,0,0,17,4.09,85.71,,,,
0,0.1667,1,0,0,15,4.36,62.5,,,,
0,0.3333,0,0,0,12,5.72,214.28,,,,
0,0.5714,1,0,0,4,9.27,140.0,,,,
0,0.7143,0,0,0,11,7.36,137.5,,,,
0,0.625,0,0,0,13,6,68.75,,,,
0,0.4286,0,0,0,12,5.45,145.45,,,,
1,0.2222,1,0,0,11,8.72,192.3,,,,
0,0.5,0,0,0,15,5.18,100.0,,,,
1,0.2222,1,0,0,11,8.45,130.0,,,,
1,0.2222,1,0,0,11,8.72,130.0,,,,
0,0.6667,1,0,0,13,8.72,121.42,,,,
0,0.4545,1,0,0,13,7.63,118.75,,,,
0,0.8,1,0,0,19,3.27,50.0,,,,
1,0.6,0,0,0,15,4.36,61.53,,,,
1,0.6364,0,0,0,15,3.54,50.0,,,,
0,0.7273,0,0,0,10,7.36,125.0,,,,
1,0.5833,0,0,0,9,9.81,153.33,,,,
0,0.8333,0,0,0,13,4.36,53.84,,,,
0,0.5385,1,0,0,14,4.09,80.0,,,,
0,0.4615,1,0,0,9,6.27,100.0,,,,
0,0.5714,2,0,0,10,7.63,200.0,,,,
0,0.8,2,0,0,11,5.72,92.3,,,,
1,0.5625,2,0,0,8,7.09,141.66,,,,
1,0.8125,2,0,0,14,3.54,90.0,,,,
0,0.1429,2,0,0,18,3.27,83.33,,,,
1,0.5556,2,0,0,12,5.72,142.85,,,,
1,0.4667,2,0,0,13,8.45,320.0,,,,
0,0.5882,2,0,0,11,10.09,171.42,,,,
1,0.5333,2,0,0,12,7.9,125.0,,,,
1,0.7778,2,0,0,15,4.63,78.57,,,,
0,0.2941,2,0,0,12,9.27,153.84,,,,
1,0.4375,2,0,0,14,9,129.41,,,,
1,0.5294,2,0,0,10,4.9,109.09,,,,
0,0.5556,2,0,0,14,6,150.0,,,,
1,0.75,2,0,0,15,4.9,155.55,,,,
1,0.3889,2,0,0,12,6,66.66,,,,
1,0.65,2,0,0,13,6.81,188.88,,,,
0,0.619,2,0,0,14,3.81,69.23,,,,
0,0.3333,2,0,0,14,5.72,100.0,,,,
1,0.3,2,0,0,11,8.72,161.53,,,,
0,0.55,2,0,0,7,11.45,157.14,,,,
1,0.5,2,0,0,16,5.18,81.81,,,,
0,0.7391,2,0,0,13,4.36,88.88,,,,
0,0.5833,2,0,0,12,8.45,125.0,,,,
0,0.5833,2,0,0,12,4.9,100.0,,,,
1,0.3478,2,0,0,14,7.36,146.15,,,,
0,0.5909,2,0,0,16,4.36,200.0,,,,
1,0.72,2,0,0,12,5.72,100.0,,,,
0,0.3333,2,0,0,16,4.36,76.92,,,,
1,0.5,2,0,0,11,6.81,108.33,,,,
0,0.5769,2,0,0,12,5.45,112.5,,,,
0,0.5769,2,0,0,16,3.27,62.5,,,,
1,0.3462,2,0,0,14,5.72,75.0,,,,
1,0.7037,2,0,0,13,4.36,100.0,,,,
0,0.2917,2,0,0,10,9.27,126.66,,,,
0,0.3846,2,0,0,17,3.81,127.27,,,,
1,0.6071,2,0,0,8,9.27,158.33,,,,
1,0.3667,0,0,0,14,5.72,76.92,,,,
1,0.6552,1,0,0,9,10.9,164.28,,,,
0,0.3704,0,0,0,17,4.09,80.0,,,,
