match_won,opposition_win_percentage,home,fifty_plus_t1,fifty_plus_partnerships_t1,dots_t1,run_rate_t1,highest_ind_sr_t1,fours_t2,sixes_t2,wickets_t2,run_rate_t2
1,0.5,0,1,2,29,9.37,170.21,,,,
1,0.5,0,1,1,30,10.05,152.94,,,,
0,0.5,0,0,0,36,6.37,115.78,,,,
0,0.0,1,0,1,37,7.27,122.22,,,,
0,0.5,1,1,0,30,9.07,197.14,,,,
1,0.0,1,1,1,26,8.85,170.0,,,,
0,1.0,0,0,0,40,6.6,168.75,,,,
0,0.6667,1,0,0,44,6.67,220.0,,,,
0,0.3333,0,0,0,33,7.12,171.42,,,,
0,0.3333,0,0,0,33,7.2,171.42,,,,
0,0.0,1,0,0,40,5.92,103.33,,,,
1,0.3333,0,0,0,32,6.52,164.7,,,,
1,0.25,1,1,2,23,9.45,146.15,,,,
1,0.5,1,1,1,30,9.15,176.47,,,,
0,0.5,1,0,0,30,6.97,141.17,,,,
1,0.2,1,0,1,21,7.8,118.91,,,,
1,0.4,1,0,1,35,7.95,125.0,,,,
1,0.8,1,0,1,33,8.17,212.5,,,,
0,0.6667,1,0,1,42,5.7,102.85,,,,
0,0.1667,1,0,0,41,6.15,160.0,,,,
0,0.3333,0,0,1,31,7.05,115.15,,,,
0,0.5714,1,1,1,21,8.47,144.44,,,,
0,0.5714,1,1,1,21,8.55,144.44,,,,
0,0.7143,0,1,1,30,7.27,127.08,,,,
0,0.625,0,0,0,30,6.9,104.54,,,,
0,0.4286,0,0,0,45,5.85,89.65,,,,
1,0.2222,1,1,1,23,9,169.76,,,,
0,0.5,0,0,0,52,4.35,75.0,,,,
1,0.2222,1,1,1,31,8.55,113.63,,,,
0,0.4545,1,0,0,39,6.82,123.52,,,,
0,0.8,1,0,0,42,6.67,96.66,,,,
1,0.6,0,1,1,29,8.7,150.94,,,,
1,0.6364,0,0,0,40,4.72,96.0,,,,
0,0.7273,0,0,1,34,7.05,129.41,,,,
1,0.5833,0,1,1,20,10.65,175.0,,,,
0,0.8333,0,0,1,32,6.67,102.7,,,,
